actual,proposed
3.3626536556799997e-07,0.0
4.2697778358400003e-07,0.0
4.2697778358400003e-07,0.0
3.1637034211200003e-07,0.0
2.82567323104e-07,0.0
2.82567323104e-07,0.0
5.1313531104e-07,0.0
6.195209961600001e-07,0.0
6.195209961600001e-07,0.0
2.5100460035199997e-07,0.0
2.50814340128e-07,0.0
2.50339002496e-07,0.0
2.50339002496e-07,0.0
2.5010770400000004e-07,0.0
2.47582017408e-07,0.0
2.47582017408e-07,0.0
6.0534312256e-07,0.0
2.5296549660799997e-07,0.0
2.99873672032e-07,0.0
2.99873672032e-07,0.0
4.2770896220799995e-07,0.0
4.0186920083199996e-07,0.0
4.0186920083199996e-07,0.0
4.13720231232e-07,0.0
4.02273459104e-07,0.0
4.02819071424e-07,0.0
4.02819071424e-07,0.0
3.803773952e-07,0.0
2.8731417264e-07,0.0
2.8731417264e-07,0.0
2.6041206540799996e-07,0.0
2.56915363232e-07,0.0
2.56915363232e-07,0.0
2.5734604156799996e-07,0.0
2.5820364310400003e-07,0.0
2.5820364310400003e-07,0.0
2.5863593078400004e-07,0.0
2.59495365184e-07,0.0
2.59495365184e-07,0.0
2.59473057888e-07,0.0
2.59432332544e-07,0.0
2.59432332544e-07,0.0
2.59412349856e-07,0.0
2.5937207155199996e-07,0.0
2.5937207155199996e-07,0.0
2.5935271472e-07,0.0
2.59557146112e-07,0.0
2.59557146112e-07,0.0
2.59777000384e-07,0.0
2.5997901776e-07,0.0
2.5997901776e-07,0.0
2.60203565952e-07,0.0
2.60407684416e-07,0.0
2.60407684416e-07,0.0
2.6062767279999996e-07,0.0
2.6083264064e-07,0.0
2.6083264064e-07,0.0
2.60813552032e-07,0.0
2.61033629824e-07,0.0
2.6123922352e-07,0.0
2.6123922352e-07,0.0
2.61679066176e-07,0.0
2.61679066176e-07,0.0
2.61657563552e-07,0.0
2.6187884835199996e-07,0.0
2.62077736448e-07,0.0
2.62077736448e-07,0.0
2.62299736512e-07,0.0
2.6250211152e-07,0.0
2.6250211152e-07,0.0
2.62719998816e-07,0.0
2.62923580832e-07,0.0
2.62923580832e-07,0.0
2.62906950944e-07,0.0
2.60877612864e-07,0.0
2.69064926944e-07,0.0
2.69064926944e-07,0.0
2.6927588512e-07,0.0
2.65852363392e-07,0.0
2.65852363392e-07,0.0
2.6300453977600004e-07,0.0
2.59784018912e-07,0.0
2.59784018912e-07,0.0
2.69164438048e-07,0.0
2.69374591552e-07,0.0
2.6934763504e-07,0.0
2.6934763504e-07,0.0
2.69565298816e-07,0.0
2.69538610528e-07,0.0
2.69538610528e-07,0.0
2.6929711951999997e-07,0.0
2.69494398272e-07,0.0
2.69494398272e-07,0.0
2.65856833792e-07,0.0
2.60981102624e-07,0.0
2.60981102624e-07,0.0
2.5978701408000003e-07,0.0
2.69379240768e-07,0.0
2.69379240768e-07,0.0
2.6573984342400003e-07,0.0
2.60860535936e-07,0.0
2.60860535936e-07,0.0
2.59667117952e-07,0.0
2.69049146432e-07,0.0
2.694734768e-07,0.0
2.694734768e-07,0.0
2.65840114496e-07,0.0
2.63209507616e-07,0.0
2.63209507616e-07,0.0
2.6296211568e-07,0.0
2.6318049472e-07,0.0
2.63159528544e-07,0.0
